         3491122 function calls (3461748 primitive calls) in 3.471 seconds

   Ordered by: cumulative time
   List reduced from 1471 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    3.488    3.488 status_service.py:94(recompute_dirty)
        2    0.003    0.002    1.834    0.917 status_recompute.py:50(_ensure_graph_cache)
     1707    0.002    0.000    1.584    0.001 session.py:2290(execute)
     1707    0.014    0.000    1.582    0.001 session.py:2123(_execute_internal)
        1    0.005    0.005    1.543    1.543 status_recompute.py:159(recompute_devices_status)
      200    0.038    0.000    1.523    0.008 dependency_resolver_core.py:202(has_upstream_l3_or_anchor)
     1707    0.004    0.000    1.521    0.001 context.py:283(orm_execute_statement)
     4172    0.004    0.000    1.478    0.000 session.py:3568(get)
     4172    0.033    0.000    1.474    0.000 session.py:3745(_get_impl)
      162    0.005    0.000    1.469    0.009 status_link.py:72(is_link_passable)
     1707    0.003    0.000    1.431    0.001 base.py:1374(execute)
     1707    0.003    0.000    1.428    0.001 elements.py:506(_execute_on_connection)
     1707    0.017    0.000    1.425    0.001 base.py:1590(_execute_clauseelement)
     1296    0.016    0.000    1.369    0.001 loading.py:526(load_on_pk_identity)
     1707    0.008    0.000    1.267    0.001 base.py:1791(_execute_context)
     3329    0.005    0.000    1.250    0.000 connection.py:445(wait)
     3329    0.015    0.000    1.244    0.000 waiting.py:227(wait_select)
     1707    0.020    0.000    1.208    0.001 base.py:1850(_exec_single_context)
     1296    0.002    0.000    1.186    0.001 session.py:95(execute)
     2031    0.005    0.000    1.138    0.001 cursor.py:80(execute)
      200    0.014    0.000    1.105    0.006 dependency_resolver_core.py:62(_compute_override_fingerprint)
     1707    0.002    0.000    1.025    0.001 default.py:923(do_execute)
     3167    0.946    0.000    0.946    0.000 {built-in method select.select}
     3414    0.029    0.000    0.727    0.000 loading.py:207(chunks)
      411    0.000    0.000    0.685    0.002 result.py:1761(all)
      411    0.001    0.000    0.685    0.002 result.py:543(_allrows)
      411    0.000    0.000    0.683    0.002 result.py:1675(_fetchall_impl)
      411    0.006    0.000    0.683    0.002 result.py:2266(_fetchall_impl)
9841/7893    0.006    0.000    0.523    0.000 {built-in method builtins.next}
    76144    0.120    0.000    0.506    0.000 loading.py:1067(_instance)
      411    0.001    0.000    0.402    0.001 session.py:66(exec)
      650    0.002    0.000    0.336    0.001 db.py:349(get_session)
      162    0.001    0.000    0.329    0.002 link_validator_service.py:55(is_link_physically_viable)
      162    0.001    0.000    0.326    0.002 link_validator_service.py:37(_is_optical_context)
     2357    0.007    0.000    0.307    0.000 state_changes.py:95(_go)
     4866    0.009    0.000    0.260    0.000 _cursor_base.py:184(_execute_gen)
      187    0.085    0.000    0.220    0.001 pathfinding.py:168(build_logical_graph)
    35544    0.043    0.000    0.210    0.000 instrumentation.py:502(new_instance)
      946    0.001    0.000    0.193    0.000 contextlib.py:132(__enter__)
     1707    0.071    0.000    0.192    0.000 result.py:537(_raw_all_rows)
     4541    0.061    0.000    0.185    0.000 _cursor_base.py:264(_maybe_prepare_gen)
     2032    0.004    0.000    0.183    0.000 session.py:2084(_connection_for_bind)
      325    0.001    0.000    0.173    0.001 session.py:2036(connection)
     2032    0.002    0.000    0.172    0.000 <string>:1(_connection_for_bind)
     2032    0.004    0.000    0.164    0.000 session.py:1152(_connection_for_bind)
      325    0.001    0.000    0.156    0.000 base.py:3253(connect)
      325    0.003    0.000    0.155    0.000 base.py:132(__init__)
      946    0.001    0.000    0.149    0.000 contextlib.py:141(__exit__)
      325    0.002    0.000    0.147    0.000 session.py:2468(close)
      325    0.000    0.000    0.146    0.000 base.py:3278(raw_connection)


