         3491122 function calls (3461748 primitive calls) in 3.471 seconds

   Ordered by: call count
   List reduced from 1471 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   270080    0.037    0.000    0.037    0.000 sqltypes.py:1607(_object_value_for_elem)
   270080    0.056    0.000    0.094    0.000 sqltypes.py:1725(process)
202648/201969    0.029    0.000    0.035    0.000 {built-in method builtins.isinstance}
   170587    0.036    0.000    0.057    0.000 {built-in method builtins.getattr}
   133372    0.031    0.000    0.033    0.000 {method 'get' of 'dict' objects}
    97988    0.019    0.000    0.029    0.000 reportviews.py:188(__getitem__)
    94798    0.025    0.000    0.025    0.000 attributes.py:552(__get__)
    81225    0.028    0.000    0.028    0.000 {method 'difference' of 'set' objects}
    80316    0.030    0.000    0.033    0.000 identity.py:219(get)
    76144    0.120    0.000    0.506    0.000 loading.py:1067(_instance)
    69447    0.012    0.000    0.012    0.000 {method 'pop' of 'dict' objects}
    68479    0.013    0.000    0.013    0.000 {method 'update' of 'dict' objects}
    67694    0.013    0.000    0.019    0.000 misc.py:595(_clear_cache)
    60588    0.007    0.000    0.007    0.000 reportviews.py:197(__contains__)
    51261    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
    48327    0.003    0.000    0.003    0.000 typing.py:2187(cast)
    46164    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x00007FF821B99D90}
44052/44035    0.006    0.000    0.006    0.000 {built-in method builtins.len}
    40600    0.010    0.000    0.010    0.000 state.py:543(dict)
    40600    0.042    0.000    0.080    0.000 state.py:828(unloaded)
    37400    0.033    0.000    0.050    0.000 graph.py:517(add_node)
    37251    0.008    0.000    0.008    0.000 {method 'issuperset' of 'frozenset' objects}
    35544    0.009    0.000    0.009    0.000 main.py:816(__setattr__)
    35544    0.052    0.000    0.052    0.000 loading.py:1325(_populate_full)
    35544    0.022    0.000    0.022    0.000 state.py:201(__init__)
    35544    0.010    0.000    0.019    0.000 <string>:1(set)
    35544    0.043    0.000    0.210    0.000 instrumentation.py:502(new_instance)
    35544    0.008    0.000    0.008    0.000 identity.py:207(_add_unpresent)
    35544    0.021    0.000    0.126    0.000 main.py:786(__new__)
    35544    0.097    0.000    0.097    0.000 _compat.py:120(init_pydantic_private_attrs)
    35344    0.015    0.000    0.032    0.000 state.py:514(_cleanup)
    34372    0.011    0.000    0.017    0.000 identity.py:262(_fast_discard)
    30294    0.036    0.000    0.058    0.000 graph.py:899(add_edge)
    27736    0.005    0.000    0.005    0.000 {built-in method builtins.iter}
    25397    0.002    0.000    0.002    0.000 _cursor_base.py:96(adapters)
    23369    0.006    0.000    0.006    0.000 {method 'decode' of 'bytes' objects}
    23366    0.035    0.000    0.075    0.000 _column.py:19(__init__)
    23366    0.011    0.000    0.017    0.000 _typeinfo.py:266(__getitem__)
    23366    0.006    0.000    0.023    0.000 _typeinfo.py:290(get)
    23366    0.009    0.000    0.009    0.000 _cursor_base.py:628(_encoding)
    17131    0.006    0.000    0.006    0.000 {method 'copy' of 'dict' objects}
14837/14507    0.007    0.000    0.012    0.000 {built-in method builtins.hasattr}
    13818    0.001    0.000    0.001    0.000 coreviews.py:43(__init__)
    13631    0.002    0.000    0.004    0.000 coreviews.py:49(__iter__)
    13631    0.006    0.000    0.007    0.000 coreviews.py:80(__getitem__)
    12192    0.004    0.000    0.007    0.000 attr.py:386(__iter__)
    10661    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
9841/7893    0.006    0.000    0.523    0.000 {built-in method builtins.next}
     9104    0.003    0.000    0.003    0.000 attr.py:389(__bool__)
     8176    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}


