         15504643 function calls (15318903 primitive calls) in 18.037 seconds

   Ordered by: cumulative time
   List reduced from 1481 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
13490/9509    0.032    0.000   25.754    0.003 session.py:3568(get)
13490/9509    0.198    0.000   22.091    0.002 session.py:3745(_get_impl)
9882/8507    0.110    0.000   21.347    0.003 loading.py:526(load_on_pk_identity)
9882/8507    0.020    0.000   19.991    0.002 session.py:95(execute)
11936/7988    0.034    0.000   19.542    0.002 session.py:2290(execute)
11936/7988    0.085    0.000   18.532    0.002 session.py:2123(_execute_internal)
        5    0.002    0.000   18.138    3.628 v2_engine.py:124(run_tick)
        5    0.016    0.003   17.986    3.597 v2_graph.py:8(build_adjacency)
11936/7988    0.041    0.000   15.649    0.002 context.py:283(orm_execute_statement)
11936/7988    0.026    0.000   14.340    0.002 base.py:1374(execute)
      810    0.018    0.000   13.373    0.017 status_link.py:6(evaluate_link_status)
  972/778    0.026    0.000   13.270    0.017 status_link.py:72(is_link_passable)
12140/8077    0.040    0.000   11.403    0.001 elements.py:506(_execute_on_connection)
12140/8077    0.083    0.000   11.193    0.001 base.py:1590(_execute_clauseelement)
66222/37590    0.065    0.000   10.076    0.000 {built-in method builtins.next}
12140/8078    0.044    0.000   10.039    0.001 base.py:1791(_execute_context)
12140/8078    0.132    0.000    9.609    0.001 base.py:1850(_exec_single_context)
26071/15930    0.053    0.000    9.542    0.001 connection.py:445(wait)
26071/15930    0.106    0.000    8.784    0.001 waiting.py:227(wait_select)
14925/9357    0.039    0.000    8.641    0.001 cursor.py:80(execute)
5552/5174    0.021    0.000    8.623    0.002 db.py:349(get_session)
2836/2739    0.011    0.000    8.527    0.003 contextlib.py:141(__exit__)
12140/8078    0.025    0.000    8.495    0.001 default.py:923(do_execute)
     1000    0.100    0.000    6.887    0.007 dependency_resolver_core.py:202(has_upstream_l3_or_anchor)
17488/15827    0.048    0.000    6.483    0.000 state_changes.py:95(_go)
22381/17588    4.804    0.000    6.376    0.000 {built-in method select.select}
2776/2681    0.024    0.000    5.806    0.002 session.py:2468(close)
2776/2681    0.011    0.000    5.696    0.002 session.py:2570(_close_impl)
     1000    0.070    0.000    5.441    0.005 dependency_resolver_core.py:62(_compute_override_fingerprint)
2776/2681    0.006    0.000    4.941    0.002 <string>:1(close)
2776/2681    0.033    0.000    4.139    0.002 session.py:1391(close)
23872/23864    0.154    0.000    3.659    0.000 loading.py:207(chunks)
     2054    0.002    0.000    3.447    0.002 result.py:1761(all)
     2054    0.005    0.000    3.437    0.002 result.py:543(_allrows)
     2054    0.004    0.000    3.415    0.002 result.py:1675(_fetchall_impl)
2836/2740    0.007    0.000    3.413    0.001 contextlib.py:132(__enter__)
     2054    0.033    0.000    3.291    0.002 result.py:2266(_fetchall_impl)
382611/382608    0.608    0.000    2.427    0.000 loading.py:1067(_instance)
        5    0.000    0.000    2.407    0.481 threading.py:1018(_bootstrap)
2776/2681    0.005    0.000    2.348    0.001 base.py:2574(close)
2776/2681    0.007    0.000    2.317    0.001 session.py:2036(connection)
14712/13977    0.028    0.000    2.249    0.000 session.py:2084(_connection_for_bind)
14712/13977    0.015    0.000    2.037    0.000 <string>:1(_connection_for_bind)
        5    0.000    0.000    1.949    0.390 threading.py:1058(_bootstrap_inner)
        5    0.000    0.000    1.949    0.390 threading.py:1430(run)
        5    0.000    0.000    1.949    0.390 recompute_coalescer.py:92(_execute_now)
34489/27718    0.071    0.000    1.738    0.000 _cursor_base.py:184(_execute_gen)
22381/22088    0.043    0.000    1.574    0.000 {method 'send' of 'generator' objects}
2776/2681    0.006    0.000    1.566    0.001 base.py:2723(_do_close)
2776/2681    0.009    0.000    1.551    0.001 base.py:2707(_close_impl)


